Pcoprophilum_DM1,Pcoprophilum_DM2,Pcoprophilum_DM3,Pcoprophilum_CM1,Pcoprophilum_CM2,Pcoprophilum_CM3,Pnalgiovense_DM1,Pnalgiovense_DM2,Pnalgiovense_DM3,Pnalgiovense_CM1,Pnalgiovense_CM2,Pnalgiovense_CM3,Ppolonicum_DM1,Ppolonicum_DM2,Ppolonicum_DM3,Ppolonicum_CM1,Ppolonicum_CM2,Ppolonicum_CM3,Pantarcticum_DM1,Pantarcticum_DM2,Pantarcticum_DM3,Pantarcticum_CM1,Pantarcticum_CM2,Pantarcticum_CM3,Pvulpinum_DM1,Pvulpinum_DM2,Pvulpinum_DM3,Pvulpinum_CM1,Pvulpinum_CM2,Pvulpinum_CM3,Parizonense_DM1,Parizonense_DM2,Parizonense_DM3,Parizonense_CM1,Parizonense_CM2,Parizonense_CM3,Psolitum_DM1,Psolitum_DM2,Psolitum_DM3,Psolitum_CM1,Psolitum_CM2,Psolitum_CM3,Pdecumbens_DM1,Pdecumbens_DM2,Pdecumbens_DM3,Pdecumbens_CM1,Pdecumbens_CM2,Pdecumbens_CM3,Pflavigenum_DM1,Pflavigenum_DM2,Pflavigenum_DM3,Pflavigenum_CM1,Pflavigenum_CM2,Pflavigenum_CM3,Psteckii_DM1,Psteckii_DM2,Psteckii_DM3,Psteckii_CM1,Psteckii_CM2,Psteckii_CM3
0,0,0,1e-04,0,0,0.001013247,0.000770412,0.001134682,0,5.10429e-05,0.000357301,5.44664e-05,2.17866e-05,7.57432e-05,-0.000179796,0.000264575,-0.000271799,-7.49148e-05,0.000821595,4.29448e-05,-1.42841e-05,-2.85511e-05,-2.85511e-05,-3.56923e-07,-5.14656e-05,-7.22563e-05,-0.000462222,0.000481472,0.000842577,0.000120627,0.000120627,4.49489e-05,5.08248e-05,8.52897e-05,0.001618541,0.001330902,1.9534e-05,7.8133e-05,0.00056437,0.000622235,0.000622235,-3.19777e-05,0.000125086,0.000679893,0,0,0,-2.45399e-05,-7.75333e-05,-0.000108424,0,0,-2.47035e-05,0.001549563,0.000368485,0.000674113,0.000209733,0.000215178,0.000368487
0,0,0,2e-04,0,0,0.001612371,0.001211811,0.001765157,0,7.80368e-05,0.000742086,0.000199449,0.000133612,0.000241453,-0.000275706,0.000387876,-0.000396646,-5.79414e-06,0.001878896,6.96115e-05,9.19069e-07,2.43225e-06,2.43225e-06,-5.73721e-05,-0.000116823,-0.000126108,0.001126653,0.000623963,0.001189093,0.000404199,0.000422304,0.000186299,0.00015771,0.000208534,0.003652624,0.002779255,-0.000165055,0.000342189,0.001287985,0.001404238,0.001404238,-4.69907e-05,0.000220141,0.001416737,7.60736e-05,1.52147e-05,-3.19178e-05,-2.45399e-05,-0.000109012,-0.000108076,3.29797e-05,-3.73006e-05,3.36833e-05,0.003123306,0.000605869,0.001360041,0.000303137,0.000292499,0.000522951
0,0,0,3e-04,-1e-04,-1e-04,0.002366659,0.001768776,0.002560874,0,0.000134969,0.000944785,0.000424371,0.000347844,0.000308451,-0.000404908,0.000551676,-0.000558906,0.000328221,0.003308957,0.000214288,0.000154497,9.13484e-05,9.13484e-05,-0.000101536,-0.000138091,-0.00010259,0.002729925,0.000818259,0.001617505,0.000678855,0.000717219,0.000351752,0.000325017,0.000300804,0.00547816,0.00421652,-0.000697049,0.000718785,0.002147533,0.002263844,0.002263844,3.86286e-06,0.000324249,0.002190931,0.000262086,-9.81595e-07,2.8189e-05,2.63804e-05,-2.83954e-05,-3.8495e-05,0.000150464,2.94479e-06,0.000144382,0.004807728,0.000746819,0.002682627,0.000425107,0.000353127,0.000727095
0,0,0,6e-04,0,0,0.00318955,0.002377525,0.003437292,0,0.000164908,0.001154356,0.000696282,0.000524023,0.000414773,-0.000540736,0.000729924,-0.000740268,0.001097887,0.004884908,0.000429202,0.000490251,0.000285046,0.000285046,-4.28543e-05,1.10429e-06,2.31766e-05,0.003091915,0.001037801,0.001859046,0.001027212,0.001049434,0.000565412,0.000528957,0.000338759,0.007327048,0.00564697,-0.001251209,0.001279561,0.00305849,0.003243547,0.003243547,9.3701e-05,0.000518366,0.003037746,0.000469202,-0.000145767,0.000127827,3.53374e-05,-3.01453e-05,1.84767e-05,0.000347499,2.94479e-06,0.000282475,0.006651358,0.000942288,0.004095783,0.000561163,0.000375343,0.00095477
0,0,0,0.001,4e-04,4e-04,0.004043373,0.003007921,0.004245868,0,0.00022773,0.00159411,0.000984503,0.000656049,0.000633455,-0.000667035,0.00091092,-0.00096446,0.002145644,0.006971452,0.000650798,0.000895107,0.000571189,0.000571189,0.000116676,0.000213647,0.000200068,0.003577382,0.001487034,0.002261063,0.001368916,0.001578623,0.000930348,0.000790825,0.000359482,0.009021063,0.007289541,-0.001477286,0.002162752,0.004079511,0.004237065,0.004237065,0.000181356,0.000719672,0.003652958,0.000733252,-0.000269448,0.00023506,-7.1411e-05,-7.6923e-05,-3.11966e-05,0.000562974,0.000353865,0.000519425,0.008615119,0.001294226,0.005587175,0.000695631,0.000306516,0.001179748
0,0,0,0.0014,8e-04,8e-04,0.00483827,0.003568405,0.00490136,0,0.000177178,0.001807607,0.001841124,0.000870663,0.001708062,-0.000992311,0.001241329,-0.001245653,0.002816728,0.008892324,0.001025562,0.001321689,0.000844013,0.000844013,0.000226223,0.00047002,0.00027062,0.004030225,0.002060224,0.002681254,0.001706585,0.002132611,0.001414928,0.001021936,0.00044499,0.010704172,0.009202936,-0.001352015,0.003290417,0.005178274,0.005265552,0.005265552,0.000309784,0.001007448,0.004239043,0.001349693,-0.000164908,0.000427692,0.000974233,0.001145301,0.001094195,0.000678656,0.000603681,0.000662448,0.01087341,0.00206315,0.006901678,0.000789858,0.000187752,0.001394314
0,0,0,0.0018,0.0011,0.0011,0.005485257,0.004271935,0.005382433,-7.3384e-05,8.34356e-06,0.002219877,0.003331069,0.001446785,0.00374806,-0.001450389,0.001710382,-0.001593252,0.003481513,0.010794015,0.001073947,0.001761498,0.001251094,0.001251094,0.000199673,0.000706489,0.000180804,0.004322822,0.002545293,0.003110102,0.002123545,0.002790279,0.001896346,0.001263517,0.000579932,0.012347035,0.011341606,-0.001149384,0.004539098,0.006197329,0.006349349,0.006349349,0.000455591,0.001266094,0.004835995,0.001672638,-3.92638e-05,0.000784237,0.002130307,0.002554636,0.002503883,0.000696802,0.000603681,0.000643548,0.013351096,0.002925412,0.00819271,0.000813841,0.000114688,0.001515644
0,0,0,0.0023,0.0014,0.0014,0.006162923,0.005184977,0.005815331,-0.000146768,-0.000136442,0.002289571,0.005671208,0.003011924,0.005486154,-0.002068671,0.002062842,-0.002050668,0.004209284,0.012446121,0.000962127,0.002292181,0.001835717,0.001835717,0.001524175,0.002032461,0.001509843,0.0049385,0.002930993,0.003671629,0.002509748,0.003474124,0.002329012,0.001444131,0.000739059,0.013988262,0.013827827,-0.000864564,0.006036876,0.007873347,0.008032941,0.008032941,0.000629208,0.001465672,0.005489814,0.001984785,0.000126626,0.001153341,0.002863558,0.003453035,0.003304769,0.00075383,0.000229693,0.000479185,0.015852818,0.003687011,0.009363188,0.000787949,-1.58463e-05,0.001593692
0,0,0,0.0029,0.0019,0.0019,0.006820156,0.005938881,0.006232359,-0.000173153,-0.00033816,0.002255215,0.008169128,0.004990135,0.007504704,-0.002536019,0.00246528,-0.002340463,0.004766339,0.014396769,0.001341568,0.002950589,0.002455626,0.002455626,0.00510631,0.005393333,0.004881009,0.005536578,0.003310136,0.004303885,0.002841091,0.004184145,0.002763899,0.001490593,0.000760545,0.015496864,0.016278002,-0.000644736,0.007656701,0.010161133,0.010234905,0.010234905,0.000838604,0.001760573,0.00610431,0.002306748,0.000548712,0.001438737,0.004117853,0.004654851,0.004373814,0.000850352,0.000199264,0.00032337,0.018242324,0.004475852,0.010343603,0.000788957,-0.000119851,0.001672804
0,0,0,0.0034,0.0024,0.0024,0.00738693,0.006698592,0.006644344,-0.000113301,-0.000526626,0.002293988,0.009401406,0.00724802,0.009479641,-0.002823872,0.002928555,-0.002478847,0.005337505,0.016051247,0.002117151,0.003630979,0.00309764,0.00309764,0.008215767,0.008340095,0.007679782,0.006131506,0.003942736,0.004786871,0.003228071,0.004895365,0.003300504,0.001540545,0.000687362,0.017329611,0.018861698,-0.000616617,0.009463301,0.012682155,0.012583868,0.012583868,0.001034678,0.002166506,0.00667771,0.003051779,0.000787239,0.001953178,0.00495546,0.005320899,0.004943121,0.000931674,0.000332761,0.000222759,0.020712195,0.005225534,0.011533315,0.000732137,-0.000119851,0.001586582
