Pcoprophilum_DM1,Pcoprophilum_DM2,Pcoprophilum_DM3,Pcoprophilum_CM1,Pcoprophilum_CM2,Pcoprophilum_CM3,Pnalgiovense_DM1,Pnalgiovense_DM2,Pnalgiovense_DM3,Pnalgiovense_CM1,Pnalgiovense_CM2,Pnalgiovense_CM3,Ppolonicum_DM1,Ppolonicum_DM2,Ppolonicum_DM3,Ppolonicum_CM1,Ppolonicum_CM2,Ppolonicum_CM3,Pantarcticum_DM1,Pantarcticum_DM2,Pantarcticum_DM3,Pantarcticum_CM1,Pantarcticum_CM2,Pantarcticum_CM3,Pvulpinum_DM1,Pvulpinum_DM2,Pvulpinum_DM3,Pvulpinum_CM1,Pvulpinum_CM2,Pvulpinum_CM3,Parizonense_DM1,Parizonense_DM2,Parizonense_DM3,Parizonense_CM1,Parizonense_CM2,Parizonense_CM3,Psolitum_DM1,Psolitum_DM2,Psolitum_DM3,Psolitum_CM1,Psolitum_CM2,Psolitum_CM3,Pdecumbens_DM1,Pdecumbens_DM2,Pdecumbens_DM3,Pdecumbens_CM1,Pdecumbens_CM2,Pdecumbens_CM3,Pflavigenum_DM1,Pflavigenum_DM2,Pflavigenum_DM3,Pflavigenum_CM1,Pflavigenum_CM2,Pflavigenum_CM3,Psteckii_DM1,Psteckii_DM2,Psteckii_DM3,Psteckii_CM1,Psteckii_CM2,Psteckii_CM3
0.2056,0.191,0.1109,0.0508,0.0503,0.0508,0.0469,0.0464,0.047,0.0458,0.0459,0.0465,0.0469,0.0469,0.047,0.0467,0.0454,0.0466,0.0499,0.0511,0.0472,0.0498,0.0498,0.0501,0.0481,0.0476,0.0475,0.05,0.05,0.0507,0.0472,0.0463,0.047,0.0497,0.0493,0.0441,0.0529,0.0456,0.0506,0.0509,0.0509,0.051,0.0432,0.0435,0.0455,0.05,0.051,0.0503,0.0478,0.0478,0.0471,0.0508,0.0506,0.0505,0.0499,0.0461,0.0496,0.0464,0.0455,0.0457
0.1999,0.1949,0.1117,0.0508,0.0504,0.0508,0.0469,0.0464,0.047,0.0458,0.0459,0.0465,0.0474,0.0471,0.0477,0.0467,0.0454,0.0466,0.0494,0.0493,0.0469,0.0497,0.0496,0.0508,0.0479,0.0479,0.0478,0.05,0.05,0.0507,0.0479,0.047,0.0473,0.0498,0.0496,0.0455,0.0533,0.0457,0.051,0.0513,0.0516,0.0514,0.043,0.0437,0.0453,0.05,0.051,0.0503,0.048,0.0475,0.0479,0.0508,0.0506,0.0505,0.0502,0.0463,0.0449,0.0464,0.0455,0.0457
0.1899,0.1862,0.1053,0.0508,0.0507,0.0506,0.0469,0.0464,0.047,0.0458,0.0459,0.0465,0.0477,0.0477,0.0478,0.0467,0.0454,0.0466,0.0509,0.0514,0.0471,0.05,0.0502,0.0506,0.0476,0.0476,0.0477,0.058,0.05,0.0513,0.0481,0.0473,0.0475,0.05,0.0495,0.046,0.0532,0.0446,0.0515,0.0515,0.0515,0.0512,0.0433,0.0433,0.0456,0.0505,0.0511,0.0501,0.048,0.0482,0.0481,0.0512,0.0507,0.0518,0.0496,0.0452,0.0491,0.0464,0.0454,0.0457
0.188,0.1866,0.1065,0.0508,0.0507,0.0507,0.0469,0.0464,0.047,0.0458,0.0459,0.0465,0.0481,0.048,0.0468,0.0467,0.0454,0.0466,0.051,0.0514,0.0476,0.0506,0.05,0.0513,0.048,0.0482,0.0485,0.051,0.051,0.0508,0.048,0.0469,0.0474,0.0501,0.0494,0.0453,0.0528,0.0441,0.0515,0.0518,0.0518,0.0515,0.0434,0.0437,0.0454,0.0507,0.0508,0.0508,0.0485,0.0485,0.0485,0.0518,0.0512,0.0511,0.0501,0.0456,0.0487,0.0464,0.0453,0.0457
0.1905,0.1878,0.1037,0.0508,0.0512,0.0513,0.0469,0.0464,0.047,0.0458,0.0459,0.0465,0.048,0.0473,0.0481,0.0467,0.0454,0.0466,0.0534,0.0535,0.0475,0.0511,0.0508,0.0511,0.0485,0.049,0.0486,0.051,0.051,0.0505,0.0482,0.0474,0.0477,0.0503,0.0492,0.0443,0.0529,0.0446,0.0522,0.0515,0.0518,0.0518,0.0435,0.0438,0.0458,0.0506,0.0503,0.0503,0.0476,0.0475,0.048,0.0521,0.0521,0.0521,0.0502,0.0455,0.0493,0.0464,0.0452,0.0457
0.1964,0.1921,0.1035,0.0509,0.0513,0.0522,0.0469,0.0464,0.0466,0.0458,0.0459,0.0465,0.0482,0.0476,0.0477,0.0467,0.0454,0.0464,0.0525,0.0525,0.0478,0.0509,0.0505,0.0506,0.0488,0.0488,0.0489,0.052,0.052,0.0513,0.0479,0.0478,0.0481,0.0502,0.0493,0.0441,0.0533,0.0456,0.0528,0.0521,0.0517,0.0517,0.0436,0.0442,0.0455,0.051,0.0513,0.0508,0.0474,0.0481,0.0476,0.0519,0.0521,0.0522,0.0505,0.0464,0.0487,0.0464,0.0449,0.0457
0.1838,0.1863,0.1058,0.051,0.0509,0.0513,0.0465,0.046,0.0462,0.0458,0.0454,0.0464,0.0525,0.0479,0.0549,0.046,0.046,0.0464,0.0517,0.0521,0.0481,0.0512,0.0507,0.0511,0.0481,0.0493,0.0477,0.05,0.051,0.0508,0.0481,0.0478,0.0482,0.0501,0.0495,0.0439,0.0537,0.0461,0.053,0.0516,0.0517,0.0519,0.0438,0.0444,0.0454,0.0508,0.0513,0.0507,0.058,0.0575,0.0574,0.051,0.0513,0.051,0.0513,0.0476,0.0482,0.0462,0.045,0.0456
0.1895,0.1847,0.1026,0.0509,0.0517,0.0515,0.0462,0.0469,0.0458,0.0455,0.0457,0.0464,0.0528,0.0504,0.0549,0.046,0.0459,0.0462,0.0517,0.052,0.046,0.0509,0.0512,0.0514,0.0477,0.0486,0.0477,0.051,0.051,0.051,0.0482,0.0478,0.048,0.0502,0.0496,0.0436,0.0539,0.0459,0.0531,0.0516,0.0517,0.052,0.0437,0.044,0.0456,0.051,0.0514,0.0515,0.0484,0.0497,0.0498,0.0508,0.0497,0.0504,0.0512,0.0467,0.0483,0.0461,0.0451,0.0453
0.1927,0.1918,0.1032,0.0513,0.0512,0.0517,0.0465,0.0467,0.0459,0.0458,0.0451,0.0456,0.0589,0.0554,0.0524,0.0457,0.0455,0.046,0.0519,0.0519,0.0471,0.0516,0.0516,0.0517,0.0583,0.0576,0.0585,0.052,0.051,0.0516,0.0479,0.0478,0.0479,0.0498,0.0495,0.0436,0.0541,0.0463,0.0534,0.0535,0.0535,0.0534,0.044,0.0439,0.0456,0.0507,0.0515,0.0507,0.0528,0.053,0.0522,0.051,0.0506,0.0506,0.0508,0.047,0.0474,0.046,0.0448,0.0454
0.1966,0.1948,0.1057,0.051,0.0517,0.0519,0.046,0.0462,0.0457,0.0457,0.0454,0.0459,0.0533,0.0529,0.0564,0.0464,0.046,0.0469,0.0512,0.0518,0.0486,0.0515,0.0513,0.0509,0.0639,0.0638,0.063,0.051,0.051,0.0509,0.0479,0.0478,0.0482,0.0496,0.049,0.0437,0.054,0.0457,0.0536,0.0539,0.0536,0.0538,0.0439,0.0446,0.0453,0.051,0.0516,0.0511,0.0537,0.052,0.0518,0.0511,0.0508,0.0502,0.0504,0.0467,0.0472,0.0462,0.0452,0.0453
0.1871,0.1836,0.1033,0.0518,0.051,0.0516,0.0461,0.0466,0.0458,0.0461,0.0457,0.0459,0.0495,0.0573,0.052,0.0466,0.0457,0.0466,0.0514,0.0515,0.049,0.0516,0.0516,0.0515,0.0548,0.0541,0.0538,0.051,0.052,0.0512,0.0483,0.0477,0.048,0.0498,0.0491,0.0438,0.0541,0.0456,0.0539,0.0541,0.0538,0.0541,0.0439,0.0447,0.0452,0.0509,0.0516,0.0516,0.0492,0.0488,0.0483,0.0509,0.0512,0.0509,0.0508,0.0467,0.0482,0.0458,0.0452,0.0448
0.1905,0.184,0.1046,0.0515,0.0521,0.0519,0.0458,0.0467,0.045,0.0457,0.0456,0.0459,0.0477,0.0524,0.0488,0.0462,0.0462,0.0458,0.0515,0.0513,0.049,0.051,0.0513,0.051,0.0499,0.0497,0.0493,0.051,0.051,0.0517,0.0478,0.048,0.0479,0.0497,0.049,0.0438,0.0539,0.0455,0.0537,0.0544,0.0544,0.0545,0.0441,0.0444,0.0459,0.0518,0.0518,0.0518,0.0476,0.0476,0.0475,0.0513,0.0515,0.0512,0.0516,0.0477,0.0486,0.0465,0.0452,0.0455
0.1969,0.1902,0.1042,0.052,0.0517,0.052,0.046,0.0462,0.0456,0.0461,0.0453,0.0462,0.0476,0.0488,0.0474,0.0466,0.0461,0.0466,0.0509,0.0514,0.0494,0.0514,0.0513,0.0514,0.0498,0.0477,0.0484,0.051,0.051,0.0505,0.0486,0.0481,0.0483,0.0498,0.0495,0.0436,0.054,0.0453,0.054,0.0547,0.0543,0.0542,0.0445,0.0447,0.0452,0.0515,0.0516,0.0514,0.0476,0.0473,0.0474,0.0514,0.0514,0.0507,0.0518,0.0482,0.0472,0.0464,0.0456,0.045
0.1927,0.1998,0.1075,0.051,0.0519,0.0518,0.0462,0.0462,0.0459,0.0463,0.0459,0.0457,0.0542,0.0476,0.0474,0.0467,0.0463,0.046,0.0508,0.0513,0.0493,0.0512,0.0513,0.0514,0.0483,0.048,0.0484,0.052,0.051,0.0516,0.0484,0.0484,0.0485,0.0501,0.0494,0.0435,0.054,0.0446,0.054,0.0545,0.0541,0.0543,0.0445,0.0444,0.0457,0.0512,0.0511,0.0513,0.0498,0.0517,0.0544,0.0514,0.051,0.0515,0.0514,0.047,0.0479,0.0454,0.0455,0.0453
0.1893,0.1859,0.1035,0.0512,0.0513,0.0521,0.0463,0.0457,0.0456,0.0461,0.0454,0.0461,0.0549,0.0474,0.0554,0.0461,0.0465,0.0469,0.0511,0.0513,0.0496,0.0517,0.0517,0.0519,0.0484,0.0478,0.0479,0.052,0.051,0.0515,0.0489,0.0485,0.0487,0.05,0.0495,0.0436,0.0537,0.0442,0.0539,0.0545,0.0542,0.0544,0.0444,0.0444,0.0457,0.0512,0.0515,0.0514,0.0575,0.0566,0.0576,0.0517,0.0516,0.0514,0.0518,0.0478,0.0476,0.0462,0.0451,0.0449
0.1897,0.1856,0.1042,0.0513,0.051,0.0516,0.0456,0.0467,0.0457,0.0461,0.046,0.0459,0.0586,0.0555,0.0573,0.0464,0.0464,0.0461,0.0515,0.0517,0.0499,0.0517,0.0519,0.0517,0.0549,0.056,0.0574,0.051,0.051,0.0512,0.0489,0.0483,0.0486,0.05,0.0498,0.0434,0.0538,0.045,0.0538,0.0544,0.0543,0.0546,0.0447,0.0449,0.0456,0.0511,0.0517,0.051,0.0573,0.0552,0.054,0.0521,0.0511,0.0516,0.0515,0.0475,0.0469,0.0464,0.0455,0.0451
0.1933,0.1856,0.1053,0.0518,0.0508,0.0515,0.0459,0.0467,0.0458,0.046,0.0459,0.0463,0.0596,0.0565,0.0582,0.0466,0.0467,0.0466,0.0514,0.0512,0.0502,0.0519,0.0518,0.052,0.0677,0.0685,0.0685,0.051,0.051,0.0514,0.049,0.0485,0.0486,0.0503,0.0498,0.0434,0.0542,0.0467,0.0539,0.0547,0.0544,0.0551,0.0443,0.0445,0.0457,0.051,0.0517,0.0512,0.0553,0.0557,0.0546,0.0514,0.0518,0.0518,0.0511,0.0471,0.0476,0.0463,0.0456,0.0452
