Pcoprophilum_DM1,Pcoprophilum_DM2,Pcoprophilum_DM3,Pcoprophilum_CM1,Pcoprophilum_CM2,Pcoprophilum_CM3,Pnalgiovense_DM1,Pnalgiovense_DM2,Pnalgiovense_DM3,Pnalgiovense_CM1,Pnalgiovense_CM2,Pnalgiovense_CM3,Ppolonicum_DM1,Ppolonicum_DM2,Ppolonicum_DM3,Ppolonicum_CM1,Ppolonicum_CM2,Ppolonicum_CM3,Pantarcticum_DM1,Pantarcticum_DM2,Pantarcticum_DM3,Pantarcticum_CM1,Pantarcticum_CM2,Pantarcticum_CM3,Pvulpinum_DM1,Pvulpinum_DM2,Pvulpinum_DM3,Pvulpinum_CM1,Pvulpinum_CM2,Pvulpinum_CM3,Parizonense_DM1,Parizonense_DM2,Parizonense_DM3,Parizonense_CM1,Parizonense_CM2,Parizonense_CM3,Psolitum_DM1,Psolitum_DM2,Psolitum_DM3,Psolitum_CM1,Psolitum_CM2,Psolitum_CM3,Pdecumbens_DM1,Pdecumbens_DM2,Pdecumbens_DM3,Pdecumbens_CM1,Pdecumbens_CM2,Pdecumbens_CM3,Pflavigenum_DM1,Pflavigenum_DM2,Pflavigenum_DM3,Pflavigenum_CM1,Pflavigenum_CM2,Pflavigenum_CM3,Psteckii_DM1,Psteckii_DM2,Psteckii_DM3,Psteckii_CM1,Psteckii_CM2,Psteckii_CM3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08,0.08,0.083727778,0.55,0.43,0.433333333,0.208611111,0.215,0.215,0.23,0.2,0.2,0.085833333,0.085833333,0.085277778,0.233333333,0.256388889,0.263055556,0.116666667,0.1,0.116666666,0.111447222,0.111383333,0.111383333,0.085277778,0.083333333,0.083333333,0.433333333,0.45,0.45,0.133333334,0.133333334,0.116666667,0.133333333,0.133333333,0.133333333,0.150186111,0.150180556,0.150175,0.148333333,0.148338889,0.148338889,0.124144444,0.123611111,0.123044444,0.5,0.5,0.483333333,0.1,0.088055555,0.088055556,0.030833333,0,0.033333333,0.088333333,0.121911111,0.122222222,0.270277778,0.276944445,0.284166667
0.17,0.17,0.165019445,0.67,0.55,0.554444444,0.324722222,0.330833333,0.330833333,0.34,0.3,0.4,0.171944444,0.171666667,0.170833333,0.35,0.368055556,0.375833333,0.216666667,0.216666667,0.216666667,0.220891667,0.222755555,0.222755555,0.172777778,0.183333333,0.183333333,0.566666667,0.570555556,0.566666667,0.266666667,0.266666667,0.25,0.266666667,0.266666667,0.266666667,0.298622222,0.298625,0.300438889,0.298483333,0.298458333,0.298458333,0.246408333,0.245697222,0.247105555,0.6,0.6,0.588611111,0.183333333,0.1725,0.172222222,0.095555556,0.1,0.098055555,0.1725,0.244133333,0.249166667,0.3825,0.388611112,0.395
0.25,0.25,0.248266667,0.8,0.68,0.678333333,0.464444445,0.470555556,0.470555556,0.48,0.5,0.5,0.256111111,0.256111111,0.256944444,0.5,0.51,0.516111111,0.333333333,0.333333333,0.333333333,0.33225,0.332186111,0.332186111,0.256944444,0.266666667,0.266666667,0.683333333,0.696388889,0.7,0.383333333,0.4,0.383333333,0.4,0.4,0.383333333,0.448713889,0.448719444,0.448733333,0.446897222,0.446883333,0.446883333,0.368544444,0.369783333,0.369333333,0.7,0.7,0.7125,0.266666667,0.258333333,0.258333333,0.160277778,0.2,0.164444444,0.258611111,0.370580556,0.372222222,0.522777778,0.52888889,0.535277778
0.33,0.33,0.329669445,0.93,0.8,0.803055556,0.609722222,0.616111111,0.616111111,0.63,0.6,0.6,0.342222222,0.342222222,0.341111111,0.65,0.657222222,0.665555556,0.45,0.433333333,0.45,0.444513889,0.444591667,0.444591667,0.341111111,0.35,0.35,0.816666667,0.821388889,0.816666667,0.516666667,0.533333333,0.516666667,0.516666667,0.533333333,0.516666667,0.596991667,0.598827778,0.598836111,0.596975,0.597008333,0.597008333,0.492930556,0.492225,0.491777778,0.8,0.8,0.838888889,0.35,0.342777778,0.3425,0.225,0.2,0.229166667,0.342777778,0.494286111,0.494722222,0.671944444,0.678333334,0.684444444
0.41,0.41,0.411066667,1.05,0.93,0.933055556,0.753611111,0.76,0.76,0.77,0.8,0.8,0.426944444,0.426666667,0.427222222,0.783333333,0.8,0.806111111,0.566666667,0.55,0.55,0.559194444,0.559222222,0.559222222,0.4275,0.433333333,0.433333333,0.933333333,0.948888889,0.95,0.65,0.666666667,0.65,0.65,0.666666667,0.65,0.747502778,0.747475,0.747522222,0.745588889,0.745536111,0.745536111,0.576833333,0.576416667,0.576166667,0.9,1,0.965,0.433333333,0.427222222,0.428888889,0.291388889,0.3,0.293888889,0.429166667,0.616644444,0.619166667,0.812777778,0.819166667,0.825277778
0.49,0.49,0.494372222,1.18,1.06,1.056666667,0.897222222,0.903333333,0.903333333,0.92,0.9,0.9,0.511388889,0.513055556,0.511944444,0.933333333,0.941388889,0.9475,0.666666667,0.666666667,0.666666667,0.670569444,0.670511111,0.670511111,0.511944445,0.516666667,0.516666667,1.066666667,1.0725,1.066666667,0.783333333,0.783333333,0.783333333,0.783333333,0.8,0.783333333,0.897755556,0.897716667,0.897702778,0.895783333,0.895788889,0.895788889,0.660513889,0.661758333,0.661280556,1.1,1.1,1.088888889,0.516666667,0.513333333,0.513333333,0.356111111,0.4,0.358888889,0.513611111,0.739183333,0.741388889,0.956111111,0.962500001,0.968611111
0.58,0.58,0.575730556,1.3,1.18,1.180277778,1.038333333,1.044722222,1.044722222,1.06,1.1,1.1,0.597777778,0.597777778,0.598055555,1.066666667,1.084722222,1.090833333,0.783333333,0.783333333,0.783333333,0.781902778,0.781872222,0.781872222,0.598055555,0.6,0.6,1.183333333,1.196111111,1.2,0.916666667,0.916666667,0.916666667,0.916666667,0.916666667,0.916666667,1.047072222,1.047141667,1.047163889,1.04535,1.047241667,1.047241667,0.744941667,0.744236111,0.743797222,1.2,1.2,1.212222222,0.6,0.598055556,0.598055555,0.420833333,0.4,0.423333333,0.600277778,0.863433333,0.863888889,1.0975,1.10388889,1.11
0.66,0.66,0.658927778,1.42,1.3,1.303611111,1.179722222,1.187777778,1.187777778,1.2,1.2,1.2,0.682222222,0.681944445,0.683055556,1.216666667,1.225833333,1.231944445,0.9,0.883333333,0.883333333,0.893169445,0.893172222,0.893172222,0.682777778,0.683333333,0.683333333,1.316666667,1.319722222,1.316666667,1.05,1.05,1.05,1.05,1.05,1.05,1.205730556,1.205777778,1.205744444,1.203916667,1.203916667,1.203916667,0.827505555,0.826816667,0.828255555,1.3,1.3,1.337777778,0.7,0.684444444,0.684166667,0.607777778,0.6,0.610277778,0.684444444,0.985722222,0.986388889,1.238611111,1.246944445,1.253055556
0.74,0.74,0.740166667,1.55,1.43,1.4275,1.323055556,1.329166667,1.329166667,1.34,1.3,1.4,0.768333333,0.768333334,0.768888889,1.35,1.368888889,1.375277778,1,1,1,1.004358333,1.004316667,1.004316667,0.768888889,0.766666667,0.766666667,1.433333333,1.443611111,1.45,1.183333333,1.183333333,1.166666667,1.183333333,1.183333333,1.166666667,1.354158333,1.356097222,1.356141667,1.354194444,1.354158333,1.354158333,0.911983333,0.911388889,0.910894444,1.4,1.5,1.461388889,0.783333333,0.768888889,0.768611111,0.731388889,0.7,0.734166667,0.768888889,1.108361111,1.108888889,1.381944444,1.388333334,1.394444444
